Experimento,Modelo,Cuantizacion,Energia_Wh,Tiempo_s,Throughput,CO2_PY_g,Factor_PY_g_kwh,CO2_AR_g,Factor_AR_g_kwh,CO2_BR-S_g,Factor_BR-S_g_kwh,CO2_UY_g,Factor_UY_g_kwh,CO2_BO_g,Factor_BO_g_kwh,CO2_CO_g,Factor_CO_g_kwh,CO2_MX_g,Factor_MX_g_kwh,CO2_US_g,Factor_US_g_kwh,CO2_CA_g,Factor_CA_g_kwh,CO2_ES_g,Factor_ES_g_kwh,CO2_FR_g,Factor_FR_g_kwh,CO2_DE_g,Factor_DE_g_kwh,CO2_IT_g,Factor_IT_g_kwh,CO2_PT_g,Factor_PT_g_kwh,CO2_GB_g,Factor_GB_g_kwh,CO2_NL_g,Factor_NL_g_kwh,CO2_CN_g,Factor_CN_g_kwh,CO2_IN_g,Factor_IN_g_kwh,CO2_JP_g,Factor_JP_g_kwh,CO2_AU_g,Factor_AU_g_kwh
A_LLM,Qwen2.5-7B-MLX,INT4,0.0499,0.0,0.0,0.001148,23,0.012675,254,0.003094,62,0.002295,46,0.012475,250,0.00504,101,0.017465,350,0.01976,396,0.007186,144,0.006487,130,0.002146,43,0.022605,453,0.017415,349,0.006886,138,0.012824,257,0.022854,458,0.026098,523,0.038124,764,0.025199,505,0.027395,549
B_Vision,ConvNeXt-V2,FP16,0.0005,0.02,50.0,1.2e-05,23,0.000127,254,3.1e-05,62,2.3e-05,46,0.000125,250,5.1e-05,101,0.000175,350,0.000198,396,7.2e-05,144,6.5e-05,130,2.2e-05,43,0.000227,453,0.000175,349,6.9e-05,138,0.000129,257,0.000229,458,0.000262,523,0.000382,764,0.000253,505,0.000275,549
C_Audio,Whisper-Small,FP16,0.0067,0.594,1.68,0.000154,23,0.001702,254,0.000415,62,0.000308,46,0.001675,250,0.000677,101,0.002345,350,0.002653,396,0.000965,144,0.000871,130,0.000288,43,0.003035,453,0.002338,349,0.000925,138,0.001722,257,0.003069,458,0.003504,523,0.005119,764,0.003384,505,0.003678,549
C_Audio,Distil-Whisper,FP16,0.0032,0.279,3.58,7.4e-05,23,0.000813,254,0.000198,62,0.000147,46,0.0008,250,0.000323,101,0.00112,350,0.001267,396,0.000461,144,0.000416,130,0.000138,43,0.00145,453,0.001117,349,0.000442,138,0.000822,257,0.001466,458,0.001674,523,0.002445,764,0.001616,505,0.001757,549
