Model,Quantization,Framework,CPU_Usage_%,CPU_Freq_GHz,Memory_MB,Power_Avg_W,Energy_Wh,Inference_Time_s,Load_Time_s,Tokens_Per_Sec,CO2_PY_g,CO2_ES_g,CO2_FR_g,CO2_DE_g,CO2_US_g,CO2_BR_g,CO2_AR_g
Qwen2.5-7B,INT4,LLMRunner,0.0,0.0,0.0,40.0,0.0564,5.074,4.967,19.71,0.0039,0.0138,0.0037,0.0226,0.0234,0.0056,0.0197
Qwen2.5-7B,INT8,LLMRunner,0.0,0.0,0.0,40.0,0.0884,7.953,10.599,12.57,0.0062,0.0217,0.0057,0.0353,0.0367,0.0088,0.0309
Llama-2-7B,INT4,LLMRunner,0.0,0.0,0.0,40.0,0.0494,4.446,4.899,22.49,0.0035,0.0121,0.0032,0.0198,0.0205,0.0049,0.0173
Llama-2-7B,INT8,LLMRunner,0.0,0.0,0.0,40.0,0.0792,7.127,3.872,14.03,0.0055,0.0194,0.0051,0.0317,0.0329,0.0079,0.0277
Qwen2.5-7B-MLX,INT4,MLXRunner,0.0,0.0,0.0,40.0,0.0544,4.897,3.249,20.42,0.0038,0.0133,0.0035,0.0218,0.0226,0.0054,0.019
