categoria,n_mediciones,energia_media_mwh,energia_std_mwh,cv_pct,cpu_media_mwh,gpu_media_mwh,ram_media_mwh,tokens_media,tiempo_media_s
humanities,75,114.64299362076592,14.544616939431945,12.686878177261237,12.605451706959803,92.2068446844172,9.830697229388903,779.2,39.51084
coding,75,85.82112904738949,11.459035558985589,13.352231188496756,10.58483325045619,67.06209621140006,8.174199585533238,521.2,26.501813333333335
stem,75,79.73647300493576,12.124270728030357,15.205426414182947,10.253777392242322,61.50068347317121,7.982012139522224,472.0,23.785256000000004
writing,75,78.65526268299655,40.28206635910281,51.2134407604119,9.58858944115229,61.45908501399989,7.607588227844372,381.6,21.428839999999994
roleplay,75,65.22714192354945,25.732931025351654,39.45126256721835,9.213460636735311,48.68630417131414,7.327377115500002,293.8,16.77509333333333
math,75,60.187305419225304,7.3395840115777,12.194571530416539,9.347702231382199,43.75038680648755,7.089216381355542,308.0,15.605661333333337
reasoning,75,44.27165495245983,30.26234530815531,68.35602902275029,8.419660968898757,29.920579491827763,5.931414491733307,224.6,11.824432
extraction,75,18.274502550131736,16.129623307023625,88.26299519111863,4.326374479501613,9.719010875241219,4.229117195388904,47.8,3.7806693333333334
